name_origin,name_destination,team_info
Marta,Evgenii,News UK
Marta,Alison,News UK
Marta,James,News UK
Alison,Francesco,News UK
Alison,Evgenii,News UK
Alison,James,News UK
Evgenii,Marta,News UK
Evgenii,James,News UK
Evgenii,Alison,News UK
James,Alison,News UK
James,Evgenii,News UK
James,Evgenii,News UK
Alfonso,Silvestro,Fitbug
Alfonso,Stefano,Fitbug
Alfonso,Patrick,Fitbug
Stefano,Alfonso,Fitbug
Stefano,Silvestro,Fitbug
Stefano,Patrick,Fitbug
Silvestro,Patrick,Fitbug
Silvestro,Stefano,Fitbug
Silvestro,Alfonso,Fitbug
Patrick,Stefano,Fitbug
Patrick,Alfonso,Fitbug
Patrick,Silvestro,Fitbug
Aileen,Laura,Sopra Steria
Aileen,Julien,Sopra Steria
Aileen,Ahmed,Sopra Steria
Julien,Laura,Sopra Steria
Julien,Ahmed,Sopra Steria
Julien,Aileen,Sopra Steria
Laura,Aileen,Sopra Steria
Ahmed,Julien,Sopra Steria
Ifeanyi,Luis,Parkinson
Ifeanyi,Francesco,Parkinson
Ifeanyi,Helene,Parkinson
Helene,Ifeanyi,Parkinson
Helene,Francesco,Parkinson
Helene,Luis,Parkinson
